order_at,purchase_url,customer_num,product_code,paid_price
2024-09-09,shop_pnrjb,j911869til,product_D,4000
2024-09-26,shop_wms88,8p9btn192q,set_AB,6000
2024-09-13,rp_line_iejjj,8p9btn192q,set_AB,6000
2024-09-26,ad_f0i8i,e5lblywdov,product_D,4000
2024-09-25,linead_o287h,99wokyrdj1,product_B,5000
2024-09-08,list_fh3sg,map4b1ed9x,product_B,5000
2024-09-01,tik_96bi2,90o880n3mr,product_A,2000
2024-09-20,list_ikwxh,hykbfggqzv,set_CD,8000
2024-09-08,rp_outb_z232r,e5lblywdov,product_B,5000
2024-09-18,ad_avpck,08azp9eiss,product_A,2000
2024-09-19,shop_43zgz,nzxrenbgm8,product_A,2000
2024-09-01,linead_fvws3,qvgt1l5sff,product_A,2000
2024-09-18,linead_y40o8,kh713q501m,product_C,3000
2024-09-05,tik_2bx1a,k0lxg4j7ss,product_B,5000
2024-09-02,linead_9kzkr,7e8v1j0p4v,product_D,4000
2024-09-20,shop_rmmx8,cg6oh60rjg,set_AC,7000
2024-09-12,rp_outb_68ct9,nzxrenbgm8,product_C,3000
2024-09-02,rp_line_42kap,cg6oh60rjg,product_D,4000
2024-09-09,rp_line_ica0d,hykbfggqzv,product_A,2000
2024-09-14,list_db9px,2g8q6yi4fj,product_C,3000
2024-09-09,list_n6q9w,46h5livtcd,product_A,2000
2024-09-27,rp_mg_ykfvm,qvgt1l5sff,product_D,4000
2024-09-02,ad_xtx64,72uliwzb19,set_CD,8000
2024-09-08,rp_mg_h3w2x,72uliwzb19,product_D,4000
2024-09-28,ad_l6qrx,ebjrk3jcee,set_AB,6000
2024-09-18,ad_gmw9v,chxl9od3ek,product_C,3000
2024-09-15,linead_e35ml,wutyj79czg,set_CD,8000
2024-09-22,ad_b44xn,c26bq37v2q,product_C,3000
2024-09-11,rp_mg_ggtqq,c26bq37v2q,product_A,2000
2024-09-24,rp_mg_jqjq9,e5lblywdov,product_D,4000
2024-09-02,rp_line_3vbhp,kh713q501m,set_AB,6000
2024-09-21,linead_0dakb,q77c8b3f23,set_AC,7000
2024-09-27,linead_3bex0,dqeg708k2w,product_D,4000
2024-09-27,ad_z7rvx,jivah0r3sr,set_CD,8000
2024-09-02,rp_line_l64um,72uliwzb19,product_D,4000
2024-09-06,list_1fwue,diagzwjezy,product_C,3000
2024-09-18,linead_40vp0,t2foqds5pq,product_A,2000
2024-09-13,rp_line_5cv97,chxl9od3ek,set_CD,8000
2024-09-27,tik_1f5jb,fbm1e16mp7,product_C,3000
2024-09-15,shop_vx2ct,skdjsnifc3,product_A,2000
2024-09-02,list_cea1t,28gwxagw4y,set_AC,7000
2024-09-16,ad_maysw,a11w3bnclj,product_C,3000
2024-09-27,ad_dqgrt,jyrswcinrg,product_D,4000
2024-09-04,shop_cbpps,ig6ausi3fw,set_AC,7000
2024-09-16,rp_line_2o5wi,46h5livtcd,set_AB,6000
2024-09-06,list_6bp15,qk42zepp4w,set_CD,8000
2024-09-06,shop_5vvi4,s3prky8neg,set_AC,7000
2024-09-23,ad_we6g0,xv6jgr5bh7,product_B,5000
